,productBrand,productCategory,commission
121,Luxco-St Louis,PEACH SCHNAPPS,0.07
122,Castle Brands,BARBADOS RUM,0.04
123,Edrington Group USA LLC,Single Malt Scotch,0.31
124,Bad Bear Enterprises,DISTILLED SPIRITS SPECIALTY,0.12
125,Gunsandmore.info,DISTILLED SPIRITS SPECIALTY,0.13
126,YAHARA BAY DISTILLERS INC,,0.26
127,DUNKEL CORPORATION / Iowa Distilling,American Distilled Spirit Specialty,0.29
128,E & J Gallo Winery,American Cordials & Liqueurs,0.29
129,Jim Beam Brands,Single Barrel Bourbon Whiskies,0.15
130,Heaven Hill Brands,Bottled in Bond Bourbon,0.28
131,SAZERAC COMPANY  INC,Imported Cordials & Liqueur,0.19
132,Fredrick Wildman & Son,Special Order Items,0.15
133,Proximo,IRISH WHISKIES,0.31
134,Disaronno International LLC,,0.03
135,"Green Frog Distillery, LLC",Corn Whiskies,0.09
136,YAHARA BAY DISTILLERS INC,Imported Distilled Spirit Specialty,0.05
137,Luxco-St Louis,AMERICAN SLOE GINS,0.31
138,Phillips Beverage Company,BLACKBERRY BRANDIES,0.16
139,MISA Imports Inc,Imported Vodka,0.28
140,"Yahara Bay Distillers, Inc",SINGLE MALT SCOTCH,0.3
141,FOUR ROSES DISTILLERY,Single Barrel Bourbon Whiskies,0.29
142,Sugarlands Distilling Company LLC,American Distilled Spirit Specialty,0.08
143,PERNOD RICARD USA,Imported Distilled Spirit Specialty,0.22
144,S&B Farmstead Distillery,American Distilled Spirit Specialty,0.21
145,Jim Beam Brands,Bottled in Bond Bourbon,0.32
146,Jim Beam Brands,TROPICAL FRUIT SCHNAPPS,0.07
147,Campari America,Gold Rum,0.1
148,Western Spirits Beverage Co. LLC,DISTILLED SPIRITS SPECIALTY,0.15
149,McCormick Distilling Co.,American Distilled Spirit Specialty,0.07
150,MOET HENNESSY USA,,0.04
151,E & J Gallo Winery,Single Malt Scotch,0.13
152,Sazerac North America,TRIPLE SEC,0.16
153,MISSISSIPPI RIVER DISTIL,Bottled in Bond Bourbon,0.33
154,Diageo Americas,STRAIGHT RYE WHISKIES,0.19
155,CEDAR RIDGE VINEYARDS LL,,0.05
156,Heaven Hill Brands,American Distilled Spirit Specialty,0.22
157,JINRO AMERICA INC,Special Order Items,0.08
158,Luxco-St Louis,SPEARMINT SCHNAPPS,0.17
159,SAZERAC NORTH AMERICA,Gold Rum,0.29
160,Heaven Hill Brands,Special Order Items,0.07
161,R�my Cointreau USA,,0.08
162,Jim Beam Brands,Straight Rye Whiskies,0.2
163,Windy Hill Spirits,DISTILLED SPIRITS SPECIALTY,0.07
164,"Cedar Ridge Vineyards,LLC",IRISH WHISKIES,0.17
165,PERNOD RICARD USA,Special Order Items,0.12
166,REMY COINTREAU USA         .,DECANTERS & SPECIALTY PACKAGES,0.24
167,DIAGEO AMERICAS,Aged Dark Rum,0.12
168,Phillips Beverage Company,APRICOT BRANDIES,0.31
169,DIAGEO AMERICAS,Special Order Items,0.32
170,CEDAR RIDGE VINEYARDS LL,Straight Rye Whiskies,0.14
171,"Cedar Ridge Vineyards,LLC",STRAIGHT RYE WHISKIES,0.31
172,Diageo Americas,100 PROOF VODKA,0.3
173,SAZERAC NORTH AMERICA,American Sloe Gins,0.1
174,"Sazerac Co., Inc.",STRAIGHT RYE WHISKIES,0.29
175,CONSTELLATION BRANDS INC,Temporary &  Specialty Packages,0.24
176,Campari America,Bottled in Bond Bourbon,0.25
177,Mhw LTD,Flavored Gin,0.31
178,Wilson Daniels Ltd.,,0.04
179,"Constellation Wine Company, Inc.",APRICOT BRANDIES,0.16
180,Prestige Wine and Spirits Group,MISCELLANEOUS SCHNAPPS,0.12
181,Pernod Ricard USA/Austin Nichols,TRIPLE SEC,0.22
182,BACARDI USA INC,Aged Dark Rum,0.05
183,Sazerac North America,AMERICAN AMARETTO,0.14
184,ARTISAN GRAIN DISTILLERY,Aged Dark Rum,0.28
185,E & J Gallo Winery,Temporary &  Specialty Packages,0.3
186,"M.S. Walker, Inc.",LOW PROOF VODKA,0.19
187,PROXIMO,American Vodka,0.15
188,Jim Beam Brands,RASPBERRY SCHNAPPS,0.1
189,DIAGEO AMERICAS,American Vodka,0.0
190,Heaven Hill Brands,BOTTLED IN BOND BOURBON,0.1
191,Luxco-St Louis,DECANTERS & SPECIALTY PACKAGES,0.31
192,LUXCO INC,Straight Rye Whiskies,0.21
193,CEDAR RIDGE VINEYARDS LL,Iowa Distillery Whiskies,0.27
194,Heaven Hill Brands,MISCELLANEOUS  BRANDIES,0.28
195,JDSO INC / Red Boot Distillery,American Distilled Spirit Specialty,0.22
196,STOLI GROUP,Imported Distilled Spirit Specialty,0.21
197,Laird & Company,American Vodka,0.29
198,PERNOD RICARD USA,Mezcal,0.07
199,"WILLIAM GRANT AND SONS, INC.",IRISH WHISKIES,0.21
200,Charles Jacquin Et Cie,Special Order Items,0.05
201,3 BADGE CORPORATION,Flavored Gin,0.05
202,PROXIMO,Imported Vodka,0.0
203,FIFTH GENERATION INC,American Vodka,0.11
204,LUXCO INC,American Vodka,0.16
205,MISSISSIPPI RIVER DISTIL,Straight Rye Whiskies,0.04
206,Jim Beam Brands,SINGLE MALT SCOTCH,0.29
207,3 BADGE CORPORATION,Aged Dark Rum,0.32
208,W J Deutsch & Sons LTD,Gold Rum,0.2
209,"Foundry Distilling Company, LLC",American Distilled Spirit Specialty,0.2
210,Jim Beam Brands,,0.03
211,Skyy Spirits Inc,American Distilled Spirit Specialty,0.3
212,Campari(skyy),DECANTERS & SPECIALTY PACKAGES,0.15
213,SAZERAC NORTH AMERICA,American Vodka,0.21
214,"Constellation Wine Company, Inc.",MISCELLANEOUS  BRANDIES,0.18
215,BACARDI USA INC,Mezcal,0.13
216,Mhw LTD,Temporary &  Specialty Packages,0.29
217,Wilson Daniels Ltd.,DECANTERS & SPECIALTY PACKAGES,0.32
218,Proximo,DECANTERS & SPECIALTY PACKAGES,0.23
219,Jim Beam Brands,MISCELLANEOUS  BRANDIES,0.08
220,McCormick Distilling Co.,Special Order Items,0.33
221,"O&R Ventures, LLC",American Distilled Spirit Specialty,0.33
222,Luxco-St Louis,CHERRY BRANDIES,0.13
223,Pernod Ricard USA/Austin Nichols,FLAVORED GINS,0.24
224,"Sazerac Co., Inc.",TRIPLE SEC,0.11
225,GoAmericaGo Beverages LLC / WhistlePig,Straight Rye Whiskies,0.16
226,McCormick Distilling Co.,American Vodka,0.0
227,Jim Beam Brands,Delisted Items,0.0
228,CONSTELLATION BRANDS INC,Imported Vodka,0.16
229,PERNOD RICARD USA,Imported Vodka,0.0
230,Heaven Hill Brands,American Vodka,0.0
231,BACARDI USA INC,Special Order Items,0.1
232,Skyy Spirits Inc,,0.25
233,"Mast-Jagermeister US, Inc",,0.29
234,Brown-Forman Corporation,,0.26
235,PROXIMO,Temporary &  Specialty Packages,0.28
236,DIAGEO AMERICAS,Imported Vodka,0.0
237,E & J Gallo Winery,Special Order Items,0.05
238,"Ole Smoky Distillery, LLC",DISTILLED SPIRITS SPECIALTY,0.26
239,Heaven Hill Brands,Straight Rye Whiskies,0.13
240,McCormick Distilling Co.,Temporary  & Specialty Packages,0.24
241,Mhw LTD,Mezcal,0.05
242,SAZERAC COMPANY  INC,Coffee Liqueurs,0.31
243,PROXIMO,Special Order Items,0.23
244,Park Street Imports,,0.31
245,"Yahara Bay Distillers, Inc",IRISH WHISKIES,0.28
246,Campari America,Single Barrel Bourbon Whiskies,0.18
247,LUXCO INC,,0.13
248,Prestige Wine & Spirits Group,Special Order Items,0.18
249,CONSTELLATION BRANDS INC,Straight Rye Whiskies,0.16
250,BACARDI USA INC,Imported Vodka,0.0
251,Mhw LTD,Imported Cordials & Liqueur,0.09
252,Duggan's Distillers Products Corp,DECANTERS & SPECIALTY PACKAGES,0.29
253,E & J Gallo Winery,American Vodka,0.0
254,Brown Forman Corp.,Bottled in Bond Bourbon,0.12
255,DUNKEL CORPORATION / Iowa Distilling,Straight Rye Whiskies,0.29
256,Heaven Hill Brands,Temporary &  Specialty Packages,0.3
257,MISSISSIPPI RIVER DISTIL,American Distilled Spirit Specialty,0.29
258,PROXIMO,Cocktails / RTD,0.36
259,William Grant & Sons Inc,Delisted Items,0.45
260,MISSISSIPPI RIVER DISTIL,Temporary &  Specialty Packages,0.24
261,Heaven Hill Brands,Single Barrel Bourbon Whiskies,0.19
262,The Patron Spirits Company,DECANTERS & SPECIALTY PACKAGES,0.23
263,REMY COINTREAU USA INC,Gold Rum,0.07
264,Luxco-St Louis,STRAWBERRY SCHNAPPS,0.31
265,"American Heritage Distillers, LLC",Single Barrel Bourbon Whiskies,0.06
266,Gemini Spirits,Cocktails / RTD,0.13
267,REMY COINTREAU USA INC,Special Order Items,0.14
268,"Ole Smoky Distillery, LLC",DECANTERS & SPECIALTY PACKAGES,0.33
269,Mhw LTD,Special Order Items,0.04
270,Park Street Imports,Imported Cordials & Liqueur,0.12
271,PROXIMO,Mezcal,0.15
272,PIEDMONT DISTILLERS INC,Neutral Grain Spirits,0.15
273,Campari(skyy),JAMAICA RUM,0.28
274,Brown Forman Corp.,,0.21
275,Wilderness Trail Distillery,Bottled in Bond Bourbon,0.17
276,BAD BEAR ENTERPRISES LLC / Legendary Rye,American Distilled Spirit Specialty,0.18
277,Gemini Spirits,JAMAICA RUM,0.15
278,Jim Beam Brands,Single Malt Scotch,0.29
279,BACARDI USA INC,Temporary &  Specialty Packages,0.11
280,Jim Beam Brands,Imported Vodka,0.0
281,Phillips Beverage Company,MISCELLANEOUS SCHNAPPS,0.27
282,"Sazerac Co., Inc.",,0.14
283,R�my Cointreau USA,BARBADOS RUM,0.24
284,"Foundry Distilling Company, LLC",Temporary &  Specialty Packages,0.29
285,Prestige Wine & Spirits Group,American Cordials & Liqueurs,0.0
286,Mississippi River Distilling Co.,DISTILLED SPIRITS SPECIALTY,0.31
287,LUXCO INC,Imported Distilled Spirits Specialty,0.51
288,LUXCO INC,American Cordials & Liqueurs,0.0
289,REMY COINTREAU USA INC,Single Malt Scotch,0.19
290,COOPER SPIRITS INTERNATIONAL,Straight Rye Whiskies,0.17
291,GUNSANDMORE INFO LLC,American Distilled Spirit Specialty,0.32
292,"Moet Hennessy USA, Inc.",,0.19
293,"Cedar Ridge Vineyards,LLC",DECANTERS & SPECIALTY PACKAGES,0.24
294,DIAGEO AMERICAS,Imported Cordials & Liqueur,0.26
295,Disaronno International LLC,DECANTERS & SPECIALTY PACKAGES,0.13
296,Edrington Group USA LLC,Special Order Items,0.07
297,Heaven Hill Brands,PEACH BRANDIES,0.2
298,LUXCO INC,Special Order Items,0.22
299,Wilson Daniels Ltd.,IRISH WHISKIES,0.09
300,DUNKEL CORPORATION,American Distilled Spirit Specialty,0.07
301,Heaven Hill Brands,STRAIGHT RYE WHISKIES,0.04
302,BAD BEAR ENTERPRISES LLC,American Distilled Spirit Specialty,0.1
303,WILSON DANIELS LTD,American Vodka,0.16
304,BAD BEAR ENTERPRISES LLC,Straight Rye Whiskies,0.18
305,W J Deutsch & Sons LTD,Imported Distilled Spirit Specialty,0.29
306,Campari America,Straight Rye Whiskies,0.06
307,Prestige Wine & Spirits Group / United States Distilled Products Co,Flavored Gin,0.18
308,SAZERAC NORTH AMERICA,Delisted Items,0.0
309,Shaw-Ross International,Special Order Items,0.24
310,PROST BEVERAGE COMPANY,American Distilled Spirit Specialty,0.08
311,Jim Beam Brands,STRAIGHT RYE WHISKIES,0.24
312,Luxco-St Louis,BUTTERSCOTCH SCHNAPPS,0.15
313,Patron Spirits Company,Coffee Liqueurs,0.05
314,Jim Beam Brands,American Cordials & Liqueurs,0.0
315,E and J Gallo Winery,MISCELLANEOUS  BRANDIES,0.3
316,"Worldwide Libations, LLC",Cocktails / RTD,0.29
317,DAVOS BRANDS LLC,Mezcal,0.21
318,Phillips Beverage,American Vodka,0.39
319,Phillips Beverage Company,TRIPLE SEC,0.05
320,SAZERAC NORTH AMERICA,Mezcal,0.25
321,CEDAR RIDGE VINEYARDS LL,Aged Dark Rum,0.18
322,Cats Eye Distillery,American Distilled Spirit Specialty,0.03
323,Stoli Group,DECANTERS & SPECIALTY PACKAGES,0.11
324,Fifth Generation Inc.,100 PROOF VODKA,0.33
325,Iowa Distilling Company,AMERICAN ALCOHOL,0.2
326,W J Deutsch & Sons LTD,Special Order Items,0.34
327,BMC Imports,Special Order Items,0.17
328,MISSISSIPPI RIVER DISTIL,American Cordials & Liqueurs,0.22
329,William Grant & Sons Inc,Special Order Items,0.29
330,SAZERAC COMPANY  INC,American Sloe Gins,0.12
331,"Bacardi U.S.A., Inc.",JAMAICA RUM,0.08
332,REMY COINTREAU USA         .,BARBADOS RUM,0.22
333,MISSISSIPPI RIVER DISTIL,Neutral Grain Spirits Flavored,0.12
334,SAZERAC COMPANY  INC,American Cordials & Liqueurs,0.27
335,SAZERAC NORTH AMERICA,Cocktails / RTD,0.46
336,Heaven Hill Brands,DISTILLED SPIRITS SPECIALTY,0.3
337,Skyy Spirits Inc,Special Order Items,0.04
338,Park Street Imports,Special Order Items,0.19
339,Laird And Company,100 PROOF VODKA,0.1
340,DUNKEL CORPORATION,Straight Rye Whiskies,0.48
341,REMY COINTREAU USA         .,,0.27
342,Levecke Corporation,Gold Rum,0.16
343,BRECKENRIDGE DISTILLERY,Special Order Items,0.31
344,Fetzer Vineyards,Straight Rye Whiskies,0.33
345,Pernod Ricard USA/Austin Nichols,JAPANESE WHISKY,0.19
346,Old Elk Distilleries LLC,Single Barrel Bourbon Whiskies,0.21
347,BACARDI USA INC,Imported Distilled Spirit Specialty,0.2
348,Piedmont Distillers,DECANTERS & SPECIALTY PACKAGES,0.28
349,Mccormick Distilling Company,DECANTERS & SPECIALTY PACKAGES,0.2
350,"Sazerac Co., Inc.",AMERICAN AMARETTO,0.29
351,"Imperial Brands, Inc.",DECANTERS & SPECIALTY PACKAGES,0.13
352,Swiss Cellars,SINGLE MALT SCOTCH,0.13
353,SAZERAC COMPANY  INC,American Distilled Spirits Specialty,0.04
354,Skyy Spirits Inc,American Vodka,0.13
355,LUXCO INC,Cocktails / RTD,0.33
356,Castle Brands,Special Order Items,0.3
357,Revelton Distilling Company,Flavored Gin,0.29
358,Jim Beam Brands,BLACKBERRY BRANDIES,0.3
359,Prost Beverage Company,DISTILLED SPIRITS SPECIALTY,0.05
360,DUNKEL CORPORATION,Iowa Distillery Whiskies,0.1
361,MISSISSIPPI RIVER DISTIL,Iowa Distilleries,0.15
362,Luxco-St Louis,GREEN CREME DE MENTHE,0.19
363,Diageo Americas,,0.13
364,PERNOD RICARD USA,Flavored Gin,0.12
365,Prestige Wine and Spirits Group,,0.29
366,Luxco-St Louis,WHITE CREME DE CACAO,0.13
367,Prost Beverage Company,,0.09
368,Lonely Oak Distillery,Single Barrel Bourbon Whiskies,0.31
369,E AND J GALLO WINERY,BARBADOS RUM,0.36
370,"Sazerac Co., Inc.",COFFEE LIQUEURS,0.15
371,Campari(skyy),STRAIGHT RYE WHISKIES,0.18
372,SAZERAC NORTH AMERICA,American Distilled Spirit Specialty,0.04
373,Pernod Ricard USA/Austin Nichols,,0.22
374,Brown-Forman Corporation,BOTTLED IN BOND BOURBON,0.13
375,Paterno Imports LTD,,0.29
376,"Constellation Wine Company, Inc.",,0.17
377,Jim Beam Brands,STRAWBERRY SCHNAPPS,0.28
378,Cooper's Chase Distillery,100 PROOF VODKA,0.29
379,Sazerac North America,100 PROOF VODKA,0.13
380,"Caribbean Distillers, LLC",American Distilled Spirit Specialty,0.31
381,Shaw Ross International Importers LL,BARBADOS RUM,0.06
382,Mhw LTD,,0.06
383,Gemini Spirits,Special Order Items,0.09
384,Dehner Distillery,AMERICAN ALCOHOL,0.07
385,Pernod Ricard USA/Austin Nichols,DISTILLED SPIRITS SPECIALTY,0.19
386,MISSISSIPPI RIVER DISTIL,Coffee Liqueurs,0.14
387,"Sazerac Co., Inc.",SINGLE BARREL BOURBON WHISKIES,0.09
388,Park Street Imports,Imported Distilled Spirit Specialty,0.3
389,Brown Forman Corp.,Single Barrel Bourbon Whiskies,0.19
390,Laird & Company,Special Order Items,0.03
391,"American Heritage Distillers, LLC / Century Farms Distillery",Corn Whiskies,0.16
392,SERRALLES USA,Special Order Items,0.27
393,"American Heritage Distillers, LLC / Century Farms Distillery",American Distilled Spirit Specialty,0.24
394,LUXCO INC,Coffee Liqueurs,0.14
395,"American Heritage Distillers, LLC",Corn Whiskies,0.17
396,STOLI GROUP,Special Order Items,0.23
397,Phillips Beverage,Special Order Items,0.21
398,Topa Spirits,Imported Distilled Spirits Specialty,0.13
399,RUSSIAN STANDARD VODKA,Special Order Items,0.28
400,DUNKEL CORPORATION,Neutral Grain Spirits,0.06
401,CONSTELLATION BRANDS INC,Imported Distilled Spirit Specialty,0.07
402,Luxco-St Louis,PEACH BRANDIES,0.21
403,Sazerac North America,APRICOT BRANDIES,0.24
404,Paterno Imports LTD,Special Order Items,0.3
405,Luxco-St Louis,DARK CREME DE CACAO,0.09
406,MHW Ltd,DISTILLED SPIRITS SPECIALTY,0.3
407,Diageo Americas,SINGLE MALT SCOTCH,0.07
408,Heaven Hill Brands,COFFEE LIQUEURS,0.29
409,"William Grant and Sons, Inc.",,0.05
410,Diageo Americas,OTHER PROOF VODKA,0.08
411,DIAGEO AMERICAS,Single Malt Scotch,0.23
412,"William Grant and Sons, Inc.",SINGLE MALT SCOTCH,0.16
413,Campari(skyy),SINGLE MALT SCOTCH,0.09
414,REMY COINTREAU USA INC,American Distilled Spirits Specialty,0.1
415,DEHNER DISTILLERY,Neutral Grain Spirits,0.28
416,Luxco-St Louis,COFFEE LIQUEURS,0.11
417,Luxco-St Louis,ANISETTE,0.27
418,Luxco-St Louis,MISCELLANEOUS  BRANDIES,0.23
419,Jim Beam Brands,LOW PROOF VODKA,0.31
420,Edrington Group USA LLC,SINGLE MALT SCOTCH,0.16
421,Prestige Wine and Spirits Group,IRISH WHISKIES,0.19
422,SAZERAC COMPANY  INC,Single Barrel Bourbon Whiskies,0.07
423,Gemini Spirits,DISTILLED SPIRITS SPECIALTY,0.09
424,Skyy Spirits Inc,Gold Rum,0.28
425,"maDIKwe USA, Inc.",DISTILLED SPIRITS SPECIALTY,0.07
426,Phillips Beverage Company,BUTTERSCOTCH SCHNAPPS,0.11
427,E AND J GALLO WINERY,MISCELLANEOUS  BRANDIES,0.3
428,Luxco-St Louis,WHITE CREME DE MENTHE,0.03
429,Heaven Hill Brands,Coffee Liqueurs,0.04
430,Phillips Beverage Company,DECANTERS & SPECIALTY PACKAGES,0.1
431,Mhw LTD,Gold Rum,0.24
432,Blaum Bros. Distilling Co.,DISTILLED SPIRITS SPECIALTY,0.22
433,HOTALING & CO,Special Order Items,0.15
434,Sazerac North America,APPLE SCHNAPPS,0.14
435,Heaven Hill Brands,Aged Dark Rum,0.11
436,Sazerac North America,ROCK & RYE,0.18
437,Phillips Beverage Company,CINNAMON SCHNAPPS,0.33
438,Mccormick Distilling Company,DISTILLED SPIRITS SPECIALTY,0.06
439,Dry Fly Distilling,DISTILLED SPIRITS SPECIALTY,0.14
440,Sazerac North America,,0.3
441,Diageo Americas,MISCELLANEOUS SCHNAPPS,0.33
442,Infinium Spirits,,0.32
443,Dehner Distillery,100 PROOF VODKA,0.07
444,MHW Ltd,TROPICAL FRUIT SCHNAPPS,0.2
445,Valentine Distilling Co.,,0.32
446,Laird And Company,MISCELLANEOUS  BRANDIES,0.27
447,E and J Gallo Winery,PEACH BRANDIES,0.3
448,High West Distillery,STRAIGHT RYE WHISKIES,0.21
449,"Constellation Wine Company, Inc.",DECANTERS & SPECIALTY PACKAGES,0.14
450,Park Street Imports,Corn Whiskies,0.06
451,"Bacardi U.S.A., Inc.",,0.03
452,MHW Ltd,JAMAICA RUM,0.3
453,HOTALING & CO,,0.24
454,"WILDMAN AND SONS, F.",AMARETTO - IMPORTED,0.05
455,Pernod Ricard USA/Austin Nichols,WHITE CREME DE CACAO,0.09
456,Niche Import Co.,MISCELLANEOUS  BRANDIES,0.27
457,Clear Creek Distillery,MISCELLANEOUS  BRANDIES,0.14
458,Prestige Wine & Spirits Group,,0.3
459,Luxco-Cleveland,CREME DE ALMOND,0.09
460,Kobrand Corporation,COFFEE LIQUEURS,0.04
461,"Charles Jacquin Et. Cie., Inc.",BLACKBERRY BRANDIES,0.23
